342,465,807
0,0,0
0,4,4
5,0,5
999999,9999,1009998
123,2,125
99999999,0,99999999
0,99999999,99999999
2147483647,2147483647,4294967294
9223372036854775807,9223372036854775807,18446744073709551614
340282346638528859811704183484516925440,340282346638528859811704183484516925440,680564693277057719623408366969033850880
179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075,359538626972463141629054847463408713596141135051689993197834953606314521560057077521179117265533756343080917907028764928468642653778928365536935093407075033972099821153102564152490980180778657888150
776,4116,4892
6643285890824627004941880537217101009818251682099412540446610272058140075555082774274998442309761195,901241838,6643285890824627004941880537217101009818251682099412540446610272058140075555082774274998443211003033
24139706910167329239288683546744959542561610702527217290390045692748656119349721678,522705034280022070691358585249767006509661978589380448728370409636240708722748169516594277542,522705034304161777601525914489055690056406938131942059430897626926630754415496825635943999220
4830866051,66175048121,71005914172
898585,2861,901446
6776723836114534840368613412848232918761852341325183303449216091017595115509,688625978232504528963819,6776723836114534840368613412848232918761852341325183992075194323522124079328
17320675450274240367680164036106823896075321002858802837014603317862964079856568991079,44482240145030436033834300709226797309093392541023549130,17320675450274240367680164036151306136220351438892637137723830115172057472397592540209
88807797836688940892518589,5277987904990526,88807797841966928797509115
673609,9961597333,9962270942
9669348356278063255352695312051521943709938080344740315027563747,282,9669348356278063255352695312051521943709938080344740315027564029
186223775875179549705761463175527758773902604395048266499980543429237196529192490305902,78899693233116902271553213429210221241435044629561449571867830401563893,186223775875179628605454696292430030327116033605269507935025172990686768397022891869795
54273476426,22634,54273499060
174,399613,399787
7316192941556317313700143911768278072,258118045045098769999369640567287739797250899124945003371322807605506187537041507058475,258118045045098769999369640567287739797250899124952319564264363922819887680953275336547
554118550004537042047401736584274816062306472360272853280397337736523948775326927992700,2190960897640910916795544320961508412066822198039855420146,554118550004537042047401736586465776959947383277068397601358846148590770973366783412846
67806962984264239784598763,18206166276224140004,67806981190430516008738767
90,261260,261350
8998597210993517400730109448122157460610005940485520424507925116135602839497790617,40361724006838,8998597210993517400730109448122157460610005940485520424507925116135643201221797455
145566468952885327447250609074718242835365099193348377317676484569947856671036,2749463905678207796041209548886419270813376913724269586368370,145566468952885330196714514752926038876574648079767648131053398294217443039406
77973220532518192585,67,77973220532518192652
59,671315566,671315625
65419824580792127899486865968372400256446436221138344713729043151311714990203100750,428851766529809141899287647878799348791229866,65419824580792127899486865968372400256875287987668153855628330799190514338994330616
59146026938695563937400879500766610308697579604154780107843435058397310973494062386515605490,25646402849060154579077721005208452160651865705833481306845804,59146026938695563937400879500792256711546639758733857828848643510557962839199895867822451294
60434450381238,759014139262,61193464520500
329956,438,330394
30582668306501040206532642753924539775615290774675747323047510664169373231,761038017890079602332434353211372289766651174518270012388907903091385751449075430437254798286557,761038017890079602332464935879678790806857707161023936928683518382160427196398477947918967659788
76621585433624572175677027491602570347344902530630862270377576,399145441572097860108188811983050866564901745593403452304802617293,399222063157531484680364489010542469135249090495934083167072994869
2959250817971148800,64167823934,2959250882138972734
537,2,539
1098744565803903598884750727875938044707772249764360921562152,498799,1098744565803903598884750727875938044707772249764360922060951
23448837890740464603474366388567500310708741886943274723268435689522493069241592890874210990,7626139062983773886302109581426665533795267674411764324507455796531946730414890,23448837890748090742537350162453802420290168552477069990942847453847000525038124837604625880
5774397371154400,9715734,5774397380870134
666,88,754
784329217299896585548877949148563057512650286393385,17929612426723673023570153548694395971999550606806110334307240359374476741223341642000362,17929612426723673023570153548694395972783879824106006919856118308523039798735991928393747
596165776505164747550300496267795850378155579515747641171709493943703372226030,59309531015665129121347233701859170595468047892732244621346942721910600406908481684,59310127181441634286094784002355438391318426048311760368988114431404544110280707714
59564576161640674,681326410602920012078912,681326470167496173719586
54278744414,977380,54279721794
5550228296551473007722147714707058411,40255683155577376464141601906540942014983551982904184,40255683155577382014369898458013949737131266689962595
1379220098851526096851938345505030371940740456283404831525338129710947811030014275689599,9555185653772721053027440898043406783549490676674917904739807070969233829358,1379220098861081282505711066558057812838783863066954322202013047615687618100983509518957
1276337611436812582873,423891149473726588,1276761502586286309461
67817,7190283,7258100
6548075150464336746275446569928977895979502988282749640370,7707184713010356934357807882714241063661829626700167571519493063521265265789266,7707184713010356934364355957864705400408105073270096549415472566509548015429636
516958698323541140891101799081050001397922824489736423,4498450203387233274319824662432166086023999130311628861867882345582447392,4498450203387233274836783360755707226915100929392678863265805170072183815
6300116786242956904621,923791482,6300116786243880696103
99938349,7316,99945665
9328092280615184792250108686686595989019439327194389710441513544747349539907207964945124769687866652,115744837317190083209967174271459823546156487561330554961444854025133201109542900161720664914549,9328208025452501982333318653860867448842985483681951040996474989601374673108317507845286490352781201
91141243262300536235777317647655105851716709560623006346359952286249813,7463920406507899147787751268945048200460233189249416142489018786269050227631036829762513035098533000,7463920406507899147787751269036189443722533725485193460136673892120766937191659836108872987384782813
71818706794351387180865663,44092,71818706794351387180909755
6226773,2364,6229137
30552695386628499222606731765490597392563682445503726134455186583427247667,261630422852331006043198778534013044273067865495842094382345357723513198771742548139284512,261630422852331036595894165162512266879799630986439486946027803227239333226929131566532179
8754655236813003739482567712941597944766833198836646833488,755804699366766282028322169491557881786736568541633912706750622822803727923739374228345674,755804699366766282028322169491566636441973381545373395274463564420748494756938210875179162
183263916274647477479871,178868,183263916274647477658739
948965150,9995103,958960253
60,247440499891038605849282329236276928034108411435137939722577291136432265574885747041545322084322999,247440499891038605849282329236276928034108411435137939722577291136432265574885747041545322084323059
23678376063477548192428001331671520318267282696662311029623275491867224340,8764812630696124132304589198051128505501110650713406297890825542654,23678384828290178888552133636260718369395788197772961743029573382692766994
174221952921001454735,70,174221952921001454805
7778403875,258747,7778662622
6206672933989509647625976,130554350707777325475774695770965953116748595577,130554350707777325475780902443899942626396221553
8188719799555953580246102411660097160616405094066634929551382258722813729145811521,99794420921651143801130899458372220192315869807824146,8188719799555953580246102411759891581538056237867765829009754478915129598953635667
5087473968722204799987,440622459255386770,5087914591181460186757
7597890831,53522131,7651412962
926941454105602894338931562868316168597168893275138511038128144563275114286849815,443484070192171699580999967751147053318351927514842000138213564216723431340487268468880154912725652,443484070192171700507941421856749947657283490383158168735382457491861942378615413032155269199575467
66023728280768803979951076777143212251047416543377537298,1988153954122993945995395045608086685455795183283548886,68011882234891797925946471822751298936503211726661086184
348364890,32535579068449241,32535579416814131
25625188563,3,25625188566
5187748952064028501465861909560084861422271284816613022283033126336058911187148729436005437324,7189798307992377725643768180170828587231818872905268782099545093101,5187748952064028501465861916749883169414649010460381202453861713567877784092417511535550530425
23454468143348459398340197308521985503262963103856480112060060137624,8655181763236941311469791013217853946604043770685689964656279215,23463123325111696339651667099535203357209567147627165802024716416839
654878147620,21935279045288296242134045,21935279045288951120281665
3981,709,4690
65940745099554181554,6429160272799137430508088426,6429160338739882530062269980
68153266872880625121907841159164339322323776392771560,79588073050144968254200543911868565879151625355159941977586938274992841,79588073050144968322353810784749191001059466514324281299910714667764401
47243130,6701932480735391923049,6701932480735439166179
1702940690,467132,1703407822
1268989161150513398772983650635491223989948530716413388089851677,16793,1268989161150513398772983650635491223989948530716413388089868470
285413846800058364539234653400982329437920670937832841143030912088599923615404,738194213088712841154630401125159443062797478779217220546007703,285413846800059102733447742113823484068321796097275903940509691305820469623107
35708491580294610012767,61990153492507582400,35770481733787117595167
59,4745,4804
822992484,4812081812329336659096068398364305541478541487848762976740275035455476768559850813938868938,4812081812329336659096068398364305541478541487848762976740275035455476768559850814761861422
1666472673470219780500657998070938366791074119406103826088551150,1280025388226699491953181894159175934487390672742441195918386011526658834147213730379360530192,1280025388226699491953181894160842407160860892522941853916456949893449908266619834205449081342
56235069116496874779599,355992237105719907,56235425108733980499506
8426874775,972268165,9399142940
2323551323381758649,70032710026317609310572209422499847359706739369162113307396423162485656801,70032710026317609310572209422499847359706739369162113309719974485867415450
2421506871421236544080886103029216021426287059035680962593421922611803884862576208935,490267591866753242399711594323431539749489869239310872124801934083299262456904881,2421997139013103297323285814623539452966036548904920273465546724545887184125033113816
5908683619809590,9654450197593903235799720,9654450203502586855609310
2152697265456287156717407045440071953,427757139676914479729039405626840583299940631676558597554074250939186594301843547436389,427757139676914479729039405626840583299940631676560750251339707226343311708888987508342
70448775189826465592998278715343769667357707994312451314438486326128187173812059445202458761390951,650328540094923205546529374325564008481344228737941153330312807036240541798719216404,70448775189827115921538373638549316196732033558320932658667224267281517486619095685744257480607355
761596,5408472631548208,5408472632309804
28,5799755,5799783
353409160035485583960807003407289634177171322179592581418352033276430576722373234513614210,34788229465029607691106545423134484395972971094954942680359677965741388882644010921,353409194823715048990414694513835057311655718152563676373294713636108542463762117157625131
6298575267918577100118533177630200233775141277255349792,5033242335361214517714139835036469184017295799910129026153883899006,5033242335367513092982058412136587717194926000143904167431139248798
90406415394,2334024610261756474918934,2334024610261846881334328
4185,1,4186
2430525630053066389021829220665636725076339359191565766,928314719534672800942714121259847287540664352740040536650757565879533124535252976493145228548826,928314719534672800942714121259847287540666783265670589717146587708753790171978052832504420114592
30110649775220662990185504045092522180040008127275414488982104147161852264,364146319564497240123480947724985669568034811907120017051,30110649775220663354331823609589762303520955852261084057016916054281869315
954280263,7618793322913,7619747603176
74236549785,918794,74237468579
1499161371698748613045411283837068346187012281608121475736,964,1499161371698748613045411283837068346187012281608121476700
514649145376339172310996712933054072510539235339442947993664531074685176654584992212500988008118,62076786402494502227594953416909210749965263647863271,514649145376339172310996712933054072510539297416229350488166758669638593563795742177764635871389
80177639307225,51412645450792782034125170,51412645450872959673432395
312,5026,5338
56646318576498166459129293785900844273,4496226141326837890250322306591035733254649771742125307089957204401083789977,4496226141326837890250322306591035733311296090318623473549086498186984634250
