3+2*2,7
 3/2 ,1
3+5 / 2,5
1*2-3/4+5*6-7*8+9/10,-24
2*2-3/4+5*6-7*8+9/10,-22
7-10/7-6,0
4*9+9*7-33*3,0
5*5*5*6,750
2*3*9*10+4,544
2*3*9*10+4/2,542
2*3*9*10+4/3,543
2*3*9*10+3/4,540
2*3*9*10,540
2*3*9*10+4*10,580
2*3*9*10+4*10/2,560
2*3*9*10+4*10+11,591
2*3*9*10+4*10+4,584
2*3*9*10+4*10/2+13,573
2*3*9*10+4*10/2+999,1559
2*3*9*10+4*10/2+999/4,809
2*3*9*10+4*10/2-999/33,530
2*3*9*10+4*10/2-999/333,557
 0 + 0,0
1+0,1
2*0,0
99192+0,99192
3*2-4/5+6*7-8*9+10/11,-24
10*3+5/2,32
6/2+2*2,7
4*9*7*10+15-12+3,2526
9-9,0
8*5-6*30-5,-145
129+400*12-95+4*5*116,7154
129+400*12-95+6,4840
4*5*11,220
7*2-3/2+1,14
25/5-2*6+4,-3
2*4/2+7-9,2
100*20-30/40+50*60-70*80+90/100,-600
15*30+50/20,452
60/20+20*20,403
40*90*70*100+150-120+30,25200060
90-90,0
80*50-60*300-50,-14050
1290+4000*120-950,480340
40*50*110,220000
70*20-30/20+10,1409
250/50-20*60+40,-1155
20*40/20+70-90,20
5678 * 4321 - 9876 / 1234 + 5678 * 9876 - 5432 * 8765 + 1234 / 5678,32999078
345 * 678 + 901 / 234 - 567 * 890 + 123 * 456 - 789 / 321,-214631
987 / 654 + 321 * 234 - 567 / 890 + 123 * 876 - 543 / 210,182861
9876 - 5432 / 1098 * 7654 + 3210 * 8765 - 4321 * 5678,3580272
7890 * 1234 - 5678 * 9012 + 3456 * 7890 - 1234 / 5678,-14166036
234 / 5678 + 9012 * 3456 - 7890 / 1234 + 5678 * 9012 - 3456 / 7890,82315602
8765 / 4321 + 1098 * 7654 - 3210 * 8765 + 4321 * 5678 - 9012 / 3456,4803080
5432 * 2109 - 8765 / 4321 + 1098 * 7654 - 3210 * 8765 + 4321 / 5678,-8275472
987 / 654 + 321 * 234 - 567 / 890 + 123 * 876 - 543 / 210,182861
