pushFront,1,
pushBack,2,
pushMiddle,3,
pushMiddle,4,
popFront,,1
popMiddle,,3
popMiddle,,4
popBack,,2
popFront,,-1

popFront,,-1
popBack,,-1
popMiddle,,-1

pushFront,4,
pushFront,3,
pushFront,2,
popFront,,4
popFront,,3
popFront,,2
popFront,,-1

popBack,,-1
popMiddle,,-1
pushMiddle,459267344,
pushFront,167070068,
popFront,,167070068
pushBack,545378784,
popFront,,459267344
pushBack,159230488,
pushFront,961889983,
popMiddle,,545378784
popFront,,961889983
pushMiddle,925956899,
pushFront,762355457,
pushMiddle,630245466,
pushBack,203786780,
popFront,,762355457
popMiddle,,925956899
popMiddle,,159230488
popBack,,203786780
popFront,,630245466
pushFront,919539362,
popFront,,919539362
pushBack,525756203,
popBack,,525756203
popFront,,-1
pushFront,34572433,
popMiddle,,34572433
pushFront,820150332,
popMiddle,,820150332
popBack,,-1
popMiddle,,-1
popFront,,-1
pushMiddle,63144533,
pushBack,642434925,

popMiddle,,-1
popBack,,-1
popFront,,-1
pushBack,901998449,
pushMiddle,642714452,
popFront,,642714452
pushBack,468148199,
popFront,,901998449
pushMiddle,697885128,
pushBack,648624595,
pushMiddle,662377712,
pushMiddle,533972925,
pushMiddle,940871109,
pushFront,502071465,
pushMiddle,927588843,
pushMiddle,689895404,
popFront,,502071465
pushFront,161763499,
pushBack,540628356,
pushBack,762410334,
pushBack,419971182,
popBack,,419971182
pushFront,970220529,
popBack,,762410334
popBack,,540628356
popMiddle,,927588843
popFront,,970220529
popFront,,161763499
pushMiddle,99942379,
popFront,,697885128
pushBack,462343762,
popBack,,462343762
pushBack,575043713,
popBack,,575043713
popMiddle,,940871109
popMiddle,,99942379
pushFront,510040059,
popBack,,648624595
pushFront,440948558,
popFront,,440948558
pushBack,976058578,
popBack,,976058578
popFront,,510040059
popFront,,662377712
popFront,,689895404
popFront,,533972925
popFront,,468148199
pushBack,147645312,
popBack,,147645312
popFront,,-1
pushBack,781633818,
popFront,,781633818
popFront,,-1
pushFront,934678396,
popMiddle,,934678396
pushMiddle,674232530,
pushMiddle,194638855,
pushBack,549387588,
pushFront,255982543,
popMiddle,,194638855
popMiddle,,674232530
